Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
13672,Rito SR 20 MG / 150 MG Sustained Release Oral Capsule ,rabeprazole sodium 20 MG / itopride hydrochloride 150 MG Sustained Release Oral Capsule ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13672','Rito SR 20 MG / 150 MG Sustained Release Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13672','Rito SR 20 MG / 150 MG Sustained Release Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13672','rabeprazole sodium 20 MG / itopride hydrochloride 150 MG Sustained Release Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13672','No Corresponding SCD RXCUI')"
3664,Razid-M (Rabeprazole sodium 20 MG / Mosapride Citrate 15 MG) Sustained Release Oral Capsule ,rabeprazole sodium 20 MG / mosapride citrate 15 MG Sustained Release Oral Capsule ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3664','Razid-M (Rabeprazole sodium 20 MG / Mosapride Citrate 15 MG) Sustained Release Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3664','Razid-M (Rabeprazole sodium 20 MG / Mosapride Citrate 15 MG) Sustained Release Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3664','rabeprazole sodium 20 MG / mosapride citrate 15 MG Sustained Release Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3664','No Corresponding SCD RXCUI')"
7308,Tritazide 10 MG / 12.5 MG Oral Tablet ,ramipril 10 MG / hydrochlorothiazide 12.5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7308','Tritazide 10 MG / 12.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7308','Tritazide 10 MG / 12.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7308','ramipril 10 MG / hydrochlorothiazide 12.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7308','No Corresponding SCD RXCUI')"
5952,Tritazide 10 MG / 25 MG Oral Tablet ,ramipril 10 MG / hydrochlorothiazide 25 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5952','Tritazide 10 MG / 25 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5952','Tritazide 10 MG / 25 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5952','ramipril 10 MG / hydrochlorothiazide 25 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5952','No Corresponding SCD RXCUI')"
5950,Tritazide 5 MG / 12.5 MG Oral Tablet,ramipril 5 MG / hydrochlorothiazide 12.5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5950','Tritazide 5 MG / 12.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5950','Tritazide 5 MG / 12.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5950','ramipril 5 MG / hydrochlorothiazide 12.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5950','No Corresponding SCD RXCUI')"
5947,Tritazide 5 MG / 25 MG Oral Tablet,ramipril 5 MG / hydrochlorothiazide 25 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5947','Tritazide 5 MG / 25 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5947','Tritazide 5 MG / 25 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5947','ramipril 5 MG / hydrochlorothiazide 25 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5947','No Corresponding SCD RXCUI')"
7937,Asomex- LT 2.5 MG /50 MG Oral Tablet,s (-) amlodipine besilate 2.5 MG / losartan potassium 50 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7937','Asomex- LT 2.5 MG /50 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7937','Asomex- LT 2.5 MG /50 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7937','s (-) amlodipine besilate 2.5 MG / losartan potassium 50 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7937','No Corresponding SCD RXCUI')"
8308,S-Numlo-2.5 MG Oral Tablet,s (-) amlodipine besilate 2.5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8308','S-Numlo-2.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8308','S-Numlo-2.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8308','s (-) amlodipine besilate 2.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8308','No Corresponding SCD RXCUI')"
7938,Asomex-2.5 MG Oral Tablet,s (-) amlodipine besilate 2.5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7938','Asomex-2.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7938','Asomex-2.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7938','s (-) amlodipine besilate 2.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7938','No Corresponding SCD RXCUI')"
14277,S-Amlosafe 2.5 MG Oral Tablet,s (-) amlodipine besilate 2.5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14277','S-Amlosafe 2.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14277','S-Amlosafe 2.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14277','s (-) amlodipine besilate 2.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14277','No Corresponding SCD RXCUI')"
8309,S-Numlo-5 MG Oral Tablet,s (-) amlodipine besilate 5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8309','S-Numlo-5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8309','S-Numlo-5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8309','s (-) amlodipine besilate 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8309','No Corresponding SCD RXCUI')"
7939,Asomex-5 MG Oral Tablet,s (-) amlodipine besilate 5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7939','Asomex-5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7939','Asomex-5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7939','s (-) amlodipine besilate 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7939','No Corresponding SCD RXCUI')"
14278,S-Amlosafe 5 Oral Tablet ,s (-) amlodipine besilate 5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14278','S-Amlosafe 5 Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14278','S-Amlosafe 5 Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14278','s (-) amlodipine besilate 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14278','No Corresponding SCD RXCUI')"
7960,Metpure -XL 25 MG Oral Tablet,S (-) metoprolol succinate 25 MG Extended Release Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7960','Metpure -XL 25 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7960','Metpure -XL 25 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7960','S (-) metoprolol succinate 25 MG Extended Release Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7960','No Corresponding SCD RXCUI')"
7961,Metpure -XL 50 MG Extended Release Oral Tablet,S (-) metoprolol succinate 50 MG Extended Release Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7961','Metpure -XL 50 MG Extended Release Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7961','Metpure -XL 50 MG Extended Release Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7961','S (-) metoprolol succinate 50 MG Extended Release Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7961','No Corresponding SCD RXCUI')"
10334,Panpure 20 MG Intravenous Injection ,S(-) pantoprazole sodium 20 MG Intravenous Injection ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10334','Panpure 20 MG Intravenous Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10334','Panpure 20 MG Intravenous Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG10334','S(-) pantoprazole sodium 20 MG Intravenous Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10334','No Corresponding SCD RXCUI')"
7998,Panpure 20 MG Oral Tablet ,S(-) pantoprazole sodium 20 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7998','Panpure 20 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7998','Panpure 20 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7998','S(-) pantoprazole sodium 20 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7998','No Corresponding SCD RXCUI')"
4598,"Ventolin Evohaler 100 MCG/ACTUAT Metered Dose Inhaler, 200 Metered Actuations","salbutamol 100 MCG/ACTUAT Metered Dose Inhaler, 200 Metered Actuations",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4598','Ventolin Evohaler 100 MCG/ACTUAT Metered Dose Inhaler, 200 Metered Actuations',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4598','Ventolin Evohaler 100 MCG/ACTUAT Metered Dose Inhaler, 200 Metered Actuations','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4598','salbutamol 100 MCG/ACTUAT Metered Dose Inhaler, 200 Metered Actuations','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4598','No Corresponding SCD RXCUI')"
4558,"Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsule",salbutamol 200 MCG Inhalation Powder Capsule,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4558','Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4558','Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4558','salbutamol 200 MCG Inhalation Powder Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4558','No Corresponding SCD RXCUI')"
3456,Salcof (Salbutamol 1 MG / Bromhexine 2 MG / Guaifenesin 50 MG) in 5 ML Oral Solution ,salbutamol 1 MG / bromhexine HCL 2 MG / guaifenesin 50 MG in 5 ML Oral Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3456','Salcof (Salbutamol 1 MG / Bromhexine 2 MG / Guaifenesin 50 MG) in 5 ML Oral Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3456','Salcof (Salbutamol 1 MG / Bromhexine 2 MG / Guaifenesin 50 MG) in 5 ML Oral Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3456','salbutamol 1 MG / bromhexine HCL 2 MG / guaifenesin 50 MG in 5 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3456','No Corresponding SCD RXCUI')"
2307,"Azmasol 100 MCG/ACTUAT HFA Metered Dose Inhaler, 200 Metered Inhalations","salbutamol sulphate 100 MCG/ACTUAT HFA Metered Dose Inhaler, 200 Metered Inhalations",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2307','Azmasol 100 MCG/ACTUAT HFA Metered Dose Inhaler, 200 Metered Inhalations',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2307','Azmasol 100 MCG/ACTUAT HFA Metered Dose Inhaler, 200 Metered Inhalations','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2307','salbutamol sulphate 100 MCG/ACTUAT HFA Metered Dose Inhaler, 200 Metered Inhalations','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2307','No Corresponding SCD RXCUI')"
1517,Dacof Mucolytic Oral Syrup,salbutamol sulphate 2 MG / bromhexine HCL 4 MG / guaifenesin 100 MG / menthol 1 MG in 5 ML Oral Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1517','Dacof Mucolytic Oral Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1517','Dacof Mucolytic Oral Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1517','salbutamol sulphate 2 MG / bromhexine HCL 4 MG / guaifenesin 100 MG / menthol 1 MG in 5 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1517','No Corresponding SCD RXCUI')"
6458,"Bromsal Expectorant, Bronchodilator Mucolytic Oral Syrup",salbutamol sulphate 1 MG / bromhexine HCL 2 MG / guaifenesin 50 MG / menthol 0.5 MG in 5 ML Oral Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6458','Bromsal Expectorant, Bronchodilator Mucolytic Oral Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6458','Bromsal Expectorant, Bronchodilator Mucolytic Oral Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG6458','salbutamol sulphate 1 MG / bromhexine HCL 2 MG / guaifenesin 50 MG / menthol 0.5 MG in 5 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6458','No Corresponding SCD RXCUI')"
2315,"Bexitrol-F 25 MCG/125 MCG HFA Metered Dose Inhaler, 120 Metered Inhalations","salmeterol/fluticasone 25 MCG/125 MCG /ACTUAT HFA Metered Dose Inhaler, 120 Metered Inhalations ",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2315','Bexitrol-F 25 MCG/125 MCG HFA Metered Dose Inhaler, 120 Metered Inhalations',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2315','Bexitrol-F 25 MCG/125 MCG HFA Metered Dose Inhaler, 120 Metered Inhalations','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2315','salmeterol/fluticasone 25 MCG/125 MCG /ACTUAT HFA Metered Dose Inhaler, 120 Metered Inhalations','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2315','No Corresponding SCD RXCUI')"
2318,"Bexitrol-F 25 MCG/250 MCG HFA Metered Dose Inhaler, 120 Metered Inhalations","salmeterol/fluticasone propionate 25 MCG/250 MCG/ACTUAT HFA Metered Dose Inhaler, 120 Metered Inhalations",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2318','Bexitrol-F 25 MCG/250 MCG HFA Metered Dose Inhaler, 120 Metered Inhalations',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2318','Bexitrol-F 25 MCG/250 MCG HFA Metered Dose Inhaler, 120 Metered Inhalations','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2318','salmeterol/fluticasone propionate 25 MCG/250 MCG/ACTUAT HFA Metered Dose Inhaler, 120 Metered Inhalations','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2318','No Corresponding SCD RXCUI')"
2286,"Ticamet 250 HFA Inhaler (Salmeterol 25 MCG/PUFF / Fluticasone propionate 250 MCG/PUFF) , 120 Puffs","salmeterol 25 MCG/ACTUAT / fluticasone propionate 250 MCG/ACTUAT Metered Dose Inhaler, 120 Puffs",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2286','Ticamet 250 HFA Inhaler (Salmeterol 25 MCG/PUFF / Fluticasone propionate 250 MCG/PUFF) , 120 Puffs',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2286','Ticamet 250 HFA Inhaler (Salmeterol 25 MCG/PUFF / Fluticasone propionate 250 MCG/PUFF) , 120 Puffs','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2286','salmeterol 25 MCG/ACTUAT / fluticasone propionate 250 MCG/ACTUAT Metered Dose Inhaler, 120 Puffs','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2286','No Corresponding SCD RXCUI')"
4558-BPCK,"Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsules, 100 Capsules",see GPCK entry,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4558-BPCK','Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsules, 100 Capsules',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4558-BPCK','Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsules, 100 Capsules','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4558-BPCK','see GPCK entry','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4558-BPCK','No Corresponding SCD RXCUI')"
4558-BPCK,"Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsules, 128 Capsules",see GPCK entry,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4558-BPCK','Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsules, 128 Capsules',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4558-BPCK','Ventolin Rotacaps 200 MCG Inhalation Powder, Hard Capsules, 128 Capsules','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4558-BPCK','see GPCK entry','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4558-BPCK','No Corresponding SCD RXCUI')"
9535,Janumet 50 MG / 850 MG Oral Tablet,sitaGLIPtin 50 MG / metFORMIN HCL 850 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI9535','Janumet 50 MG / 850 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB9535','Janumet 50 MG / 850 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG9535','sitaGLIPtin 50 MG / metFORMIN HCL 850 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE9535','No Corresponding SCD RXCUI')"
12154,Beta Cool Double Action Oral Suspension,sodium alginate 500 MG / sodium bicarbonate 265 MG in  10 ML,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI12154','Beta Cool Double Action Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB12154','Beta Cool Double Action Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG12154','sodium alginate 500 MG / sodium bicarbonate 265 MG in 10 ML','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE12154','No Corresponding SCD RXCUI')"
4409,Baby Gripe Water,sodium bicarbonate 1.2 % / sodium citrate 0.5 % / dill oil 0.58 % / anise oil 0.12 % / ginger tincture 0.5 %,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4409','Baby Gripe Water',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4409','Baby Gripe Water','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4409','sodium bicarbonate 1.2 % / sodium citrate 0.5 % / dill oil 0.58 % / anise oil 0.12 % / ginger tincture 0.5 %','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4409','No Corresponding SCD RXCUI')"
7134,Woodwards Gripe Water Oral Solution ,sodium bicarbonate 10 MG / dill seed oil 2.15 MG in 5 ML Oral Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7134','Woodwards Gripe Water Oral Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7134','Woodwards Gripe Water Oral Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7134','sodium bicarbonate 10 MG / dill seed oil 2.15 MG in 5 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7134','No Corresponding SCD RXCUI')"
8170,Citro-Soda Gastric Antacid Effervescent Granules 60 GM,sodium bicarbonate 1716 MG / tartaric acid 858 MG  / citric acid 702 MG  / sodium citrate 613 MG in 4 GM,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8170','Citro-Soda Gastric Antacid Effervescent Granules 60 GM',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8170','Citro-Soda Gastric Antacid Effervescent Granules 60 GM','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8170','sodium bicarbonate 1716 MG / tartaric acid 858 MG / citric acid 702 MG / sodium citrate 613 MG in 4 GM','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8170','No Corresponding SCD RXCUI')"
